#threads time_mean time_std speedup efficiency sigma_Sp sigma_Ep schedule chunk
1 0.00778826 0.000387751 1.04668 1.04668 0.104452 0.104452 0 0
2 0.00458124 5.00636e-05 1.77939 0.889695 0.155119 0.0775597 2 64
4 0.00381866 0.000465819 2.13473 0.533682 0.319215 0.0798037 0 64
8 0.00310409 6.01488e-05 2.62615 0.328269 0.232761 0.0290951 0 0
