#threads time_mean time_std speedup efficiency sigma_Sp sigma_Ep schedule chunk
1 0.0212012 0.000577209 1.01219 1.01219 0.0540678 0.0540678 0 0
2 0.012806 0.00186495 1.67575 0.837875 0.255905 0.127952 0 0
4 0.00978155 0.00127511 2.19388 0.548471 0.303245 0.0758113 2 256
8 0.00758744 0.000951428 2.8283 0.353538 0.377725 0.0472157 0 0
